direction,target_price,calc_target_price,target_time,predicted_range,predicted_duration,actual_end_price,actual_end_time,actual_direction,actual_range,actual_duration,price_error,price_error_pct,range_error,duration_error,start_time,start_price
Up,4440.582394998074,4443.433899536133,2026-01-08 09:04:09.443092346,13.293899536132812,17.157384872436523,4436.09,2026-01-08 09:01:00,Up,5.949999999999818,14.0,4.492394998073905,0.10126924832620406,7.343899536132994,3.1573848724365234,2026-01-08 08:47:00,4430.14
Down,4426.511955337524,4423.874645080567,2026-01-08 09:15:57.458267211,12.215354919433594,14.957637786865234,4432.16,2026-01-08 09:02:00,Down,3.930000000000291,1.0,5.648044662475513,0.1274332303543986,8.285354919433303,13.957637786865234,2026-01-08 09:01:00,4436.09
Up,4441.771827697754,4442.766778144836,2026-01-08 13:29:42.183837890,10.606778144836426,267.70306396484375,4439.69,2026-01-08 09:11:00,Up,7.529999999999745,9.0,2.0818276977543064,0.046891285151762996,3.0767781448366804,258.70306396484375,2026-01-08 09:02:00,4432.16
Down,4431.608052894473,4430.208342971801,2026-01-08 09:26:35.391368865,9.481657028198242,15.589856147766113,4430.76,2026-01-08 09:26:00,Down,8.929999999999382,15.0,0.8480528944728576,0.019140122563010807,0.5516570281988606,0.5898561477661133,2026-01-08 09:11:00,4439.69
Up,4440.865816254616,4441.05083442688,2026-01-08 09:45:11.530036926,10.290834426879883,19.192167282104492,4437.01,2026-01-08 09:29:00,Up,6.25,3.0,3.855816254616002,0.08690122976094265,4.040834426879883,16.192167282104492,2026-01-08 09:26:00,4430.76
Down,4427.995398122072,4428.649659881592,2026-01-08 09:45:25.294418334,8.360340118408203,16.421573638916016,4428.42,2026-01-08 09:49:00,Down,8.590000000000146,20.0,0.424601877927671,0.009588112191880422,0.2296598815919424,3.5784263610839844,2026-01-08 09:29:00,4437.01
Up,4436.793689417839,4438.974313659668,2026-01-08 10:05:40.862960815,10.554313659667969,16.681049346923828,4433.92,2026-01-08 09:56:00,Up,5.5,7.0,2.8736894178391594,0.06481148549904281,5.054313659667969,9.681049346923828,2026-01-08 09:49:00,4428.42
Down,4425.250750122071,4423.891465110779,2026-01-08 10:15:46.494827270,10.028534889221191,19.774913787841797,4425.69,2026-01-08 10:05:00,Down,8.230000000000473,9.0,0.43924987792888714,0.00992500328601613,1.7985348892207185,10.774913787841797,2026-01-08 09:56:00,4433.92
Up,4432.930554041862,4436.549755516052,2026-01-08 10:21:29.988441467,10.859755516052246,16.499807357788086,4433.26,2026-01-08 10:11:00,Up,7.5700000000006185,6.0,0.3294459581384217,0.007431234760389006,3.2897555160516276,10.499807357788086,2026-01-08 10:05:00,4425.69
Down,4425.585593818427,4424.638542900086,2026-01-08 10:27:13.625679016,8.62145709991455,16.227094650268555,4419.96,2026-01-08 10:43:00,Down,13.300000000000182,32.0,5.625593818426751,0.12727703007327557,4.678542900085631,15.772905349731445,2026-01-08 10:11:00,4433.26
Up,4429.830423159599,4429.924735984802,2026-01-08 10:58:33.058662414,9.964735984802246,15.55097770690918,4435.47,2026-01-08 11:01:00,Up,15.510000000000218,18.0,5.639576840400878,0.12714722093489253,5.545264015197972,2.4490222930908203,2026-01-08 10:43:00,4419.96
Down,4425.361636642814,4422.382603378296,2026-01-08 11:17:50.483436584,13.087396621704102,16.84139060974121,4426.09,2026-01-08 11:20:00,Down,9.38000000000011,19.0,0.7283633571860264,0.01645613526128087,3.7073966217039924,2.158609390258789,2026-01-08 11:01:00,4435.47
Up,4437.269974199534,4435.165205802918,2026-01-08 11:35:40.895690917,9.07520580291748,15.681594848632812,4434.83,2026-01-08 11:34:00,Up,8.739999999999782,14.0,2.4399741995339355,0.05501843812578916,0.33520580291769875,1.6815948486328125,2026-01-08 11:20:00,4426.09
Down,4427.375182963609,4425.310311393738,2026-01-08 11:49:45.619812011,9.519688606262207,15.760330200195312,4429.12,2026-01-08 11:48:00,Down,5.710000000000036,14.0,1.7448170363904865,0.03939421457062546,3.8096886062621707,1.7603302001953125,2026-01-08 11:34:00,4434.83
